city,weather_data,lat,lon,temp,humid,wind,clouds
alpharetta,"{'coord': {'lon': -84.27, 'lat': 34.07}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 64.9, 'pressure': 1017, 'humidity': 45, 'temp_min': 60.8, 'temp_max': 69.01}, 'visibility': 16093, 'wind': {'speed': 5.82, 'deg': 200}, 'clouds': {'all': 1}, 'dt': 1551563256, 'sys': {'type': 1, 'id': 3667, 'message': 0.007, 'country': 'US', 'sunrise': 1551528220, 'sunset': 1551569692}, 'id': 4179574, 'name': 'Alpharetta', 'cod': 200}",34.07,-84.27,64.9,45,5.82,1
moindou,"{'coord': {'lon': 165.68, 'lat': -21.69}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 77, 'pressure': 1011, 'humidity': 83, 'temp_min': 77, 'temp_max': 77}, 'visibility': 10000, 'wind': {'speed': 17.22, 'deg': 120}, 'clouds': {'all': 90}, 'dt': 1551560400, 'sys': {'type': 1, 'id': 7344, 'message': 0.0042, 'country': 'NC', 'sunrise': 1551466463, 'sunset': 1551511441}, 'id': 2140466, 'name': 'Moindou', 'cod': 200}",-21.69,165.68,77.0,83,17.22,90
campbellton,"{'coord': {'lon': -66.68, 'lat': 48}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 23.3, 'pressure': 1020.18, 'humidity': 56, 'temp_min': 23.3, 'temp_max': 23.3, 'sea_level': 1020.18, 'grnd_level': 992.81}, 'wind': {'speed': 2.48, 'deg': 358.005}, 'clouds': {'all': 12}, 'dt': 1551563259, 'sys': {'message': 0.0034, 'country': 'CA', 'sunrise': 1551524667, 'sunset': 1551564821}, 'id': 6696258, 'name': 'Campbellton', 'cod': 200}",48.0,-66.68,23.3,56,2.48,12
vaasa,"{'coord': {'lon': 21.62, 'lat': 63.1}, 'weather': [{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}], 'base': 'stations', 'main': {'temp': 19.22, 'pressure': 999, 'humidity': 92, 'temp_min': 15.01, 'temp_max': 21.99}, 'visibility': 3600, 'wind': {'speed': 6.93, 'deg': 30}, 'clouds': {'all': 20}, 'dt': 1551563225, 'sys': {'type': 1, 'id': 1367, 'message': 0.0057, 'country': 'FI', 'sunrise': 1551504821, 'sunset': 1551542322}, 'id': 632978, 'name': 'Vaasa', 'cod': 200}",63.1,21.62,19.22,92,6.93,20
te anau,"{'coord': {'lon': 167.72, 'lat': -45.41}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 49.63, 'pressure': 1030.82, 'humidity': 87, 'temp_min': 49.63, 'temp_max': 49.63, 'sea_level': 1030.82, 'grnd_level': 965.77}, 'wind': {'speed': 3.6, 'deg': 329.505}, 'clouds': {'all': 0}, 'dt': 1551562851, 'sys': {'message': 0.004, 'country': 'NZ', 'sunrise': 1551464833, 'sunset': 1551512059}, 'id': 2181625, 'name': 'Te Anau', 'cod': 200}",-45.41,167.72,49.63,87,3.6,0
marsaxlokk,"{'coord': {'lon': 14.54, 'lat': 35.84}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 55.35, 'pressure': 1019, 'humidity': 87, 'temp_min': 55, 'temp_max': 55.99}, 'visibility': 10000, 'wind': {'speed': 14.99, 'deg': 330}, 'clouds': {'all': 20}, 'dt': 1551563163, 'sys': {'type': 1, 'id': 6861, 'message': 0.0036, 'country': 'MT', 'sunrise': 1551504599, 'sunset': 1551545893}, 'id': 2562247, 'name': 'Marsaxlokk', 'cod': 200}",35.84,14.54,55.35,87,14.99,20
lebu,"{'coord': {'lon': 38.73, 'lat': 8.96}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 66.2, 'pressure': 1027, 'humidity': 42, 'temp_min': 66.2, 'temp_max': 66.2}, 'visibility': 10000, 'wind': {'speed': 9.17, 'deg': 70}, 'clouds': {'all': 20}, 'dt': 1551556800, 'sys': {'type': 1, 'id': 2453, 'message': 0.0038, 'country': 'ET', 'sunrise': 1551497891, 'sunset': 1551540967}, 'id': 344979, 'name': 'Lebu', 'cod': 200}",8.96,38.73,66.2,42,9.17,20
port-cartier,"{'coord': {'lon': -66.88, 'lat': 50.03}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 24.8, 'pressure': 1019, 'humidity': 29, 'temp_min': 24.8, 'temp_max': 24.8}, 'visibility': 48279, 'wind': {'speed': 10.29, 'deg': 310}, 'clouds': {'all': 20}, 'dt': 1551560400, 'sys': {'type': 1, 'id': 1013, 'message': 0.004, 'country': 'CA', 'sunrise': 1551524840, 'sunset': 1551564748}, 'id': 6111696, 'name': 'Port-Cartier', 'cod': 200}",50.03,-66.88,24.8,29,10.29,20
thinadhoo,"{'coord': {'lon': 72.93, 'lat': 0.53}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 82.48, 'pressure': 1008.7, 'humidity': 100, 'temp_min': 82.48, 'temp_max': 82.48, 'sea_level': 1008.7, 'grnd_level': 1008.65}, 'wind': {'speed': 12.66, 'deg': 27.0049}, 'clouds': {'all': 32}, 'dt': 1551563336, 'sys': {'message': 0.0038, 'country': 'MV', 'sunrise': 1551489436, 'sunset': 1551533001}, 'id': 1337610, 'name': 'Thinadhoo', 'cod': 200}",0.53,72.93,82.48,100,12.66,32
cobija,"{'coord': {'lon': -68.77, 'lat': -11.02}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 84.2, 'pressure': 1009, 'humidity': 74, 'temp_min': 84.2, 'temp_max': 84.2}, 'visibility': 10000, 'wind': {'speed': 3.36, 'deg': 360}, 'clouds': {'all': 75}, 'dt': 1551560400, 'sys': {'type': 1, 'id': 8614, 'message': 0.0041, 'country': 'BR', 'sunrise': 1551523096, 'sunset': 1551567337}, 'id': 3919998, 'name': 'Cobija', 'cod': 200}",-11.02,-68.77,84.2,74,3.36,75
progreso,"{'coord': {'lon': -56.22, 'lat': -34.68}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 70.41, 'pressure': 1014, 'humidity': 60, 'temp_min': 69.8, 'temp_max': 72}, 'visibility': 10000, 'wind': {'speed': 10.29, 'deg': 200}, 'clouds': {'all': 20}, 'dt': 1551563137, 'sys': {'type': 1, 'id': 8687, 'message': 0.0041, 'country': 'UY', 'sunrise': 1551519214, 'sunset': 1551565171}, 'id': 3440963, 'name': 'Progreso', 'cod': 200}",-34.68,-56.22,70.41,60,10.29,20
lavrentiya,"{'coord': {'lon': -170.99, 'lat': 65.58}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 10.93, 'pressure': 1023.46, 'humidity': 100, 'temp_min': 10.93, 'temp_max': 10.93, 'sea_level': 1023.46, 'grnd_level': 1019.13}, 'wind': {'speed': 3.15, 'deg': 217.005}, 'clouds': {'all': 12}, 'dt': 1551562736, 'sys': {'message': 0.0033, 'country': 'RU', 'sunrise': 1551551284, 'sunset': 1551588308}, 'id': 4031637, 'name': 'Lavrentiya', 'cod': 200}",65.58,-170.99,10.93,100,3.15,12
punta arenas,"{'coord': {'lon': -70.91, 'lat': -53.16}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 55.18, 'pressure': 999, 'humidity': 76, 'temp_min': 55, 'temp_max': 55.4}, 'visibility': 10000, 'wind': {'speed': 9.17, 'deg': 20}, 'clouds': {'all': 40}, 'dt': 1551562391, 'sys': {'type': 1, 'id': 8487, 'message': 0.0034, 'country': 'CL', 'sunrise': 1551521569, 'sunset': 1551569830}, 'id': 3874787, 'name': 'Punta Arenas', 'cod': 200}",-53.16,-70.91,55.18,76,9.17,40
nome,"{'coord': {'lon': -94.42, 'lat': 30.04}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 69.84, 'pressure': 1016, 'humidity': 73, 'temp_min': 66, 'temp_max': 72}, 'visibility': 16093, 'wind': {'speed': 7.96, 'deg': 86.5049}, 'rain': {'1h': 0.25}, 'clouds': {'all': 75}, 'dt': 1551563312, 'sys': {'type': 1, 'id': 3476, 'message': 0.0041, 'country': 'US', 'sunrise': 1551530503, 'sunset': 1551572276}, 'id': 4732862, 'name': 'Nome', 'cod': 200}",30.04,-94.42,69.84,73,7.96,75
new norfolk,"{'coord': {'lon': 147.06, 'lat': -42.78}, 'weather': [{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}], 'base': 'stations', 'main': {'temp': 63.46, 'pressure': 1016, 'humidity': 88, 'temp_min': 62.01, 'temp_max': 64.99}, 'visibility': 10000, 'wind': {'speed': 8.05, 'deg': 160}, 'clouds': {'all': 75}, 'dt': 1551562516, 'sys': {'type': 1, 'id': 9545, 'message': 0.0047, 'country': 'AU', 'sunrise': 1551469963, 'sunset': 1551516849}, 'id': 2155415, 'name': 'New Norfolk', 'cod': 200}",-42.78,147.06,63.46,88,8.05,75
akdepe,"{'coord': {'lon': 59.39, 'lat': 42.05}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 35.6, 'pressure': 1011, 'humidity': 93, 'temp_min': 35.6, 'temp_max': 35.6}, 'visibility': 10000, 'wind': {'speed': 2.24, 'deg': 70}, 'clouds': {'all': 0}, 'dt': 1551560400, 'sys': {'type': 1, 'id': 8993, 'message': 0.0038, 'country': 'TM', 'sunrise': 1551494126, 'sunset': 1551534848}, 'id': 601551, 'name': 'Akdepe', 'cod': 200}",42.05,59.39,35.6,93,2.24,0
bonavista,"{'coord': {'lon': -53.11, 'lat': 48.65}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 26.01, 'pressure': 1010, 'humidity': 57, 'temp_min': 26.01, 'temp_max': 26.01}, 'wind': {'speed': 11.01, 'deg': 271, 'gust': 10.28}, 'snow': {'3h': 0.005}, 'clouds': {'all': 24}, 'dt': 1551560532, 'sys': {'type': 3, 'id': 2011050, 'message': 0.0035, 'country': 'CA', 'sunrise': 1551521454, 'sunset': 1551561522}, 'id': 5905393, 'name': 'Bonavista', 'cod': 200}",48.65,-53.11,26.01,57,11.01,24
balfron,"{'coord': {'lon': -4.33, 'lat': 56.07}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 44.22, 'pressure': 989, 'humidity': 81, 'temp_min': 42.01, 'temp_max': 46.4}, 'visibility': 10000, 'wind': {'speed': 19.46, 'deg': 210, 'gust': 14.9}, 'rain': {'1h': 1.02}, 'clouds': {'all': 76}, 'dt': 1551563227, 'sys': {'type': 1, 'id': 1441, 'message': 0.0042, 'country': 'GB', 'sunrise': 1551510297, 'sunset': 1551549282}, 'id': 2656584, 'name': 'Balfron', 'cod': 200}",56.07,-4.33,44.22,81,19.46,76
sao miguel do araguaia,"{'coord': {'lon': -50.16, 'lat': -13.28}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 82.79, 'pressure': 1010.62, 'humidity': 86, 'temp_min': 82.79, 'temp_max': 82.79, 'sea_level': 1010.62, 'grnd_level': 977.53}, 'wind': {'speed': 2.37, 'deg': 142.005}, 'clouds': {'all': 12}, 'dt': 1551563043, 'sys': {'message': 0.0033, 'country': 'BR', 'sunrise': 1551518559, 'sunset': 1551562941}, 'id': 3448455, 'name': 'Sao Miguel do Araguaia', 'cod': 200}",-13.28,-50.16,82.79,86,2.37,12
mayo,"{'coord': {'lon': -135.9, 'lat': 63.59}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 17.6, 'pressure': 1033, 'humidity': 37, 'temp_min': 17.6, 'temp_max': 17.6}, 'visibility': 32186, 'wind': {'speed': 13.87, 'deg': 100}, 'clouds': {'all': 5}, 'dt': 1551560400, 'sys': {'type': 1, 'id': 858, 'message': 0.0049, 'country': 'CA', 'sunrise': 1551542601, 'sunset': 1551580142}, 'id': 6068416, 'name': 'Mayo', 'cod': 200}",63.59,-135.9,17.6,37,13.87,5
turukhansk,"{'coord': {'lon': 87.96, 'lat': 65.8}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 17.14, 'pressure': 1009.1, 'humidity': 87, 'temp_min': 17.14, 'temp_max': 17.14, 'sea_level': 1009.1, 'grnd_level': 994.33}, 'wind': {'speed': 13.56, 'deg': 192.505}, 'clouds': {'all': 88}, 'dt': 1551563341, 'sys': {'message': 0.0034, 'country': 'RU', 'sunrise': 1551489330, 'sunset': 1551525984}, 'id': 1488903, 'name': 'Turukhansk', 'cod': 200}",65.8,87.96,17.14,87,13.56,88
mataura,"{'coord': {'lon': 168.86, 'lat': -46.19}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 60.01, 'pressure': 1031, 'humidity': 80, 'temp_min': 60.01, 'temp_max': 60.01}, 'wind': {'speed': 1.99, 'deg': 272, 'gust': 4.47}, 'clouds': {'all': 0}, 'dt': 1551562806, 'sys': {'type': 3, 'id': 2008959, 'message': 0.0078, 'country': 'NZ', 'sunrise': 1551464506, 'sunset': 1551511837}, 'id': 6201424, 'name': 'Mataura', 'cod': 200}",-46.19,168.86,60.01,80,1.99,0
ponta do sol,"{'coord': {'lon': -46, 'lat': -20.63}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 69.61, 'pressure': 1012.54, 'humidity': 88, 'temp_min': 69.61, 'temp_max': 69.61, 'sea_level': 1012.54, 'grnd_level': 914.01}, 'wind': {'speed': 4.83, 'deg': 329.505}, 'clouds': {'all': 68}, 'dt': 1551563344, 'sys': {'message': 0.0036, 'country': 'BR', 'sunrise': 1551517318, 'sunset': 1551562179}, 'id': 3453439, 'name': 'Ponta do Sol', 'cod': 200}",-20.63,-46.0,69.61,88,4.83,68
dutse,"{'coord': {'lon': 9.34, 'lat': 11.76}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 75.01, 'pressure': 1011.78, 'humidity': 43, 'temp_min': 75.01, 'temp_max': 75.01, 'sea_level': 1011.78, 'grnd_level': 968.57}, 'wind': {'speed': 5.17, 'deg': 15.0049}, 'clouds': {'all': 8}, 'dt': 1551563344, 'sys': {'message': 0.003, 'country': 'NG', 'sunrise': 1551505025, 'sunset': 1551547940}, 'id': 2344245, 'name': 'Dutse', 'cod': 200}",11.76,9.34,75.01,43,5.17,8
yazoo city,"{'coord': {'lon': -90.41, 'lat': 32.86}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 55.72, 'pressure': 1019, 'humidity': 82, 'temp_min': 53.6, 'temp_max': 57.2}, 'visibility': 16093, 'wind': {'speed': 7.07, 'deg': 10.0049}, 'clouds': {'all': 90}, 'dt': 1551563320, 'sys': {'type': 1, 'id': 4373, 'message': 0.0037, 'country': 'US', 'sunrise': 1551529646, 'sunset': 1551571212}, 'id': 4451810, 'name': 'Yazoo City', 'cod': 200}",32.86,-90.41,55.72,82,7.07,90
cururupu,"{'coord': {'lon': -44.87, 'lat': -1.82}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 79.1, 'pressure': 1012.18, 'humidity': 88, 'temp_min': 79.1, 'temp_max': 79.1, 'sea_level': 1012.18, 'grnd_level': 1011.13}, 'wind': {'speed': 5.61, 'deg': 35.0049}, 'clouds': {'all': 92}, 'dt': 1551563345, 'sys': {'message': 0.0032, 'country': 'BR', 'sunrise': 1551517635, 'sunset': 1551561336}, 'id': 3401148, 'name': 'Cururupu', 'cod': 200}",-1.82,-44.87,79.1,88,5.61,92
qasigiannguit,"{'coord': {'lon': -51.19, 'lat': 68.82}, 'weather': [{'id': 620, 'main': 'Snow', 'description': 'light shower snow', 'icon': '13n'}], 'base': 'stations', 'main': {'temp': 15.8, 'pressure': 996, 'humidity': 85, 'temp_min': 15.8, 'temp_max': 15.8}, 'visibility': 10000, 'wind': {'speed': 6.93, 'deg': 140}, 'clouds': {'all': 75}, 'dt': 1551559800, 'sys': {'type': 1, 'id': 165, 'message': 0.0036, 'country': 'GL', 'sunrise': 1551523179, 'sunset': 1551558929}, 'id': 3420768, 'name': 'Qasigiannguit', 'cod': 200}",68.82,-51.19,15.8,85,6.93,75
sambava,"{'coord': {'lon': 50.17, 'lat': -14.27}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 78.07, 'pressure': 1011.74, 'humidity': 100, 'temp_min': 78.07, 'temp_max': 78.07, 'sea_level': 1011.74, 'grnd_level': 1009.05}, 'wind': {'speed': 9.86, 'deg': 182.005}, 'rain': {'3h': 3.805}, 'clouds': {'all': 88}, 'dt': 1551563346, 'sys': {'message': 0.0039, 'country': 'MG', 'sunrise': 1551494445, 'sunset': 1551538903}, 'id': 1056899, 'name': 'Sambava', 'cod': 200}",-14.27,50.17,78.07,100,9.86,88
price,"{'coord': {'lon': -110.81, 'lat': 39.6}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}, {'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}], 'base': 'stations', 'main': {'temp': 35.13, 'pressure': 1008, 'humidity': 86, 'temp_min': 28, 'temp_max': 39.2}, 'visibility': 16093, 'wind': {'speed': 8.05, 'deg': 70}, 'rain': {'1h': 1.14}, 'snow': {'1h': 0.25}, 'clouds': {'all': 90}, 'dt': 1551563344, 'sys': {'type': 1, 'id': 5428, 'message': 0.0046, 'country': 'US', 'sunrise': 1551534815, 'sunset': 1551575840}, 'id': 5545269, 'name': 'Price', 'cod': 200}",39.6,-110.81,35.13,86,8.05,90
brainerd,"{'coord': {'lon': -94.2, 'lat': 46.36}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 10.65, 'pressure': 1029, 'humidity': 60, 'temp_min': 8.01, 'temp_max': 14}, 'visibility': 16093, 'wind': {'speed': 13.87, 'deg': 290}, 'clouds': {'all': 40}, 'dt': 1551563257, 'sys': {'type': 1, 'id': 5780, 'message': 0.0042, 'country': 'US', 'sunrise': 1551531169, 'sunset': 1551571524}, 'id': 5019116, 'name': 'Brainerd', 'cod': 200}",46.36,-94.2,10.65,60,13.87,40
mutuipe,"{'coord': {'lon': -39.5, 'lat': -13.23}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 81.85, 'pressure': 1012.38, 'humidity': 55, 'temp_min': 81.85, 'temp_max': 81.85, 'sea_level': 1012.38, 'grnd_level': 966.65}, 'wind': {'speed': 10.2, 'deg': 108.005}, 'clouds': {'all': 0}, 'dt': 1551563346, 'sys': {'message': 0.0034, 'country': 'BR', 'sunrise': 1551516002, 'sunset': 1551560382}, 'id': 3456450, 'name': 'Mutuipe', 'cod': 200}",-13.23,-39.5,81.85,55,10.2,0
balabac,"{'coord': {'lon': 117.06, 'lat': 7.99}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 79.82, 'pressure': 1009.34, 'humidity': 100, 'temp_min': 79.82, 'temp_max': 79.82, 'sea_level': 1009.34, 'grnd_level': 1008.41}, 'wind': {'speed': 9.08, 'deg': 75.0049}, 'clouds': {'all': 0}, 'dt': 1551563347, 'sys': {'message': 0.0035, 'country': 'PH', 'sunrise': 1551479068, 'sunset': 1551522196}, 'id': 1728675, 'name': 'Balabac', 'cod': 200}",7.99,117.06,79.82,100,9.08,0
longyearbyen,"{'coord': {'lon': 15.63, 'lat': 78.22}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 1.4, 'pressure': 998, 'humidity': 84, 'temp_min': 1.4, 'temp_max': 1.4}, 'visibility': 10000, 'wind': {'speed': 9.17, 'deg': 360}, 'clouds': {'all': 40}, 'dt': 1551559800, 'sys': {'type': 1, 'id': 1663, 'message': 0.0054, 'country': 'NO', 'sunrise': 1551510759, 'sunset': 1551539349}, 'id': 2729907, 'name': 'Longyearbyen', 'cod': 200}",78.22,15.63,1.4,84,9.17,40
carnarvon,"{'coord': {'lon': 22.13, 'lat': -30.97}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 64.66, 'pressure': 1013.02, 'humidity': 51, 'temp_min': 64.66, 'temp_max': 64.66, 'sea_level': 1013.02, 'grnd_level': 864.33}, 'wind': {'speed': 8.19, 'deg': 159.005}, 'clouds': {'all': 0}, 'dt': 1551563347, 'sys': {'message': 0.0047, 'country': 'ZA', 'sunrise': 1551500564, 'sunset': 1551546223}, 'id': 1014034, 'name': 'Carnarvon', 'cod': 200}",-30.97,22.13,64.66,51,8.19,0
nhulunbuy,"{'coord': {'lon': 136.78, 'lat': -12.18}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 78.8, 'pressure': 1009, 'humidity': 94, 'temp_min': 78.8, 'temp_max': 78.8}, 'visibility': 10000, 'wind': {'speed': 10.54, 'deg': 155.505}, 'clouds': {'all': 75}, 'dt': 1551560400, 'sys': {'type': 1, 'id': 9576, 'message': 0.0034, 'country': 'AU', 'sunrise': 1551473724, 'sunset': 1551518059}, 'id': 2064735, 'name': 'Nhulunbuy', 'cod': 200}",-12.18,136.78,78.8,94,10.54,75
dingle,"{'coord': {'lon': 122.67, 'lat': 11}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 74.02, 'pressure': 1010.1, 'humidity': 87, 'temp_min': 74.02, 'temp_max': 74.02, 'sea_level': 1010.1, 'grnd_level': 990.17}, 'wind': {'speed': 10.65, 'deg': 33.0049}, 'clouds': {'all': 20}, 'dt': 1551563348, 'sys': {'message': 0.0034, 'country': 'PH', 'sunrise': 1551477813, 'sunset': 1551520761}, 'id': 1714733, 'name': 'Dingle', 'cod': 200}",11.0,122.67,74.02,87,10.65,20
arroio grande,"{'coord': {'lon': -53.09, 'lat': -32.24}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 79.33, 'pressure': 1010.86, 'humidity': 71, 'temp_min': 79.33, 'temp_max': 79.33, 'sea_level': 1010.86, 'grnd_level': 1008.65}, 'wind': {'speed': 17.47, 'deg': 229.505}, 'clouds': {'all': 0}, 'dt': 1551563348, 'sys': {'message': 0.0031, 'country': 'BR', 'sunrise': 1551518572, 'sunset': 1551564314}, 'id': 3471422, 'name': 'Arroio Grande', 'cod': 200}",-32.24,-53.09,79.33,71,17.47,0
bilma,"{'coord': {'lon': 12.92, 'lat': 18.69}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 57.91, 'pressure': 1014.46, 'humidity': 26, 'temp_min': 57.91, 'temp_max': 57.91, 'sea_level': 1014.46, 'grnd_level': 957.21}, 'wind': {'speed': 5.61, 'deg': 335.005}, 'clouds': {'all': 0}, 'dt': 1551562765, 'sys': {'message': 0.0036, 'country': 'NE', 'sunrise': 1551504378, 'sunset': 1551546875}, 'id': 2446796, 'name': 'Bilma', 'cod': 200}",18.69,12.92,57.91,26,5.61,0
kahului,"{'coord': {'lon': -156.47, 'lat': 20.89}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 73.58, 'pressure': 1020, 'humidity': 54, 'temp_min': 69.8, 'temp_max': 78.8}, 'visibility': 16093, 'wind': {'speed': 17.22, 'deg': 40}, 'clouds': {'all': 40}, 'dt': 1551563201, 'sys': {'type': 1, 'id': 7879, 'message': 0.0046, 'country': 'US', 'sunrise': 1551545078, 'sunset': 1551587471}, 'id': 5847411, 'name': 'Kahului', 'cod': 200}",20.89,-156.47,73.58,54,17.22,40
pasighat,"{'coord': {'lon': 95.33, 'lat': 28.06}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 48.14, 'pressure': 1015.02, 'humidity': 61, 'temp_min': 48.14, 'temp_max': 48.14, 'sea_level': 1015.02, 'grnd_level': 917.53}, 'wind': {'speed': 2.71, 'deg': 358.505}, 'clouds': {'all': 0}, 'dt': 1551563349, 'sys': {'message': 0.0035, 'country': 'IN', 'sunrise': 1551484925, 'sunset': 1551526785}, 'id': 1260206, 'name': 'Pasighat', 'cod': 200}",28.06,95.33,48.14,61,2.71,0
sao caetano de odivelas,"{'coord': {'lon': -48.02, 'lat': -0.75}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 78.7, 'pressure': 1012.14, 'humidity': 100, 'temp_min': 78.7, 'temp_max': 78.7, 'sea_level': 1012.14, 'grnd_level': 1012.01}, 'wind': {'speed': 11.32, 'deg': 21.5049}, 'clouds': {'all': 100}, 'dt': 1551563349, 'sys': {'message': 0.0031, 'country': 'BR', 'sunrise': 1551518422, 'sunset': 1551562061}, 'id': 3388926, 'name': 'Sao Caetano de Odivelas', 'cod': 200}",-0.75,-48.02,78.7,100,11.32,100
kavaratti,"{'coord': {'lon': 72.64, 'lat': 10.57}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 81.4, 'pressure': 1010.62, 'humidity': 100, 'temp_min': 81.4, 'temp_max': 81.4, 'sea_level': 1010.62, 'grnd_level': 1010.57}, 'wind': {'speed': 9.19, 'deg': 342.505}, 'clouds': {'all': 20}, 'dt': 1551563349, 'sys': {'message': 0.008, 'country': 'IN', 'sunrise': 1551489803, 'sunset': 1551532782}, 'id': 1267390, 'name': 'Kavaratti', 'cod': 200}",10.57,72.64,81.4,100,9.19,20
